"ID","Genotype.ID","rep","Seed.wt...g.","Seed.ProjArea.cm2.","Time.to.emergence..d.","Plant.ht..21d..cm.","Plant.ht..35d..cm.","Leaf.no..21d","Leaf.no..35d","Tiller.no..35d","Shoot.dry.wt...g.","Shoot.leaf.area..cm2.","Root.dry.wt..g.","Root.Length..cm.","Root.ProjArea.cm2.","Root.SurfArea..cm2.","Root.AvgDiam..mm.","Root.vol...cm3.","Root.no..tips","Root.no..forks","Root.no..crossings","Root.length..cm..by.diam.class..mm...0..L...0.5","Root.length..cm..by.diam.class..mm...0.5..L...1.0","Root.length..cm..by.diam.class..mm...1.0..L...1.5","Root.length..cm..by.diam.class..mm...1.5..L...2.0","Root.length..cm..by.diam.class..mm...2.0..L...2.5","Root.length..cm..by.diam.class..mm...2.5..L...3.0","Root.length..cm..by.diam.class..mm...3.0..L...3.5","Root.length..cm..by.diam.class..mm...3.5..L...4.0","Root.length..cm..by.diam.class..mm...4.0..L...4.5","Root.length..cm..by.diam.class..mm...L..4.5"
435,39,1,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
436,11,4,0.002,"0.0648","7","4","9.6","3","8","2","0.0362","6.8806","0.0174","393.5804","10.3947","32.6559","0.2641","0.216","1424","2028","217","362.6823","28.5265","2.1866","0.0904","0.0762","0","0","0","0","0"
437,47,9,0.0033,"0.0887","7","4.5","8.8","3","5","1","0.0225","4.5179","0.0142","460.8738","11.2544","35.3567","0.2442","0.216","1438","2207","304","435.9552","23.9065","0.8628","0.0928","0","0","0","0","0","0"
438,37,3,0.0018,"0.0678","7","4.9","12.4","3","10","2","0.05","11.4884","0.0289","750.6735","19.5622","61.4566","0.2606","0.4","2372","4182","570","695.594","49.3635","3.6673","1.3335","0.2014","0.0701","0.1244","0.0384","0.1039","0.037"
439,92,2,0.0011,"0.0732","7","4.3","10.7","3","7","2","0.027","6.7306","0.018","467.2852","12.7421","40.0306","0.2727","0.273","1201","2661","321","423.8732","40.1606","2.073","0.5631","0.212","0.2903","0","0","0","0"
440,63,10,0.0013,"0.0592","4","4.2","11.6","2","9","4","0.0393","11.2488","0.0182","566.5477","15.3986","48.3763","0.2718","0.329","1493","2394","357","504.3941","60.5228","1.5721","0.0325","0","0","0","0","0","0"
441,18,2,0.0012,"0.0615","7","3.2","7.2","3","5","1","0.0101","2.7003","0.0069","274.694","6.3347","19.9009","0.2306","0.115","712","1086","173","268.0281","6.2527","0.4133","0","0","0","0","0","0","0"
442,49,3,0.002,"0.0762","4","3.9","7.2","2","6","2","0.0158","4.039","0.01","222.7691","6.0715","19.0742","0.2725","0.13","576","874","83","203.7145","18.6538","0.3695","0.0312","0","0","0","0","0","0"
443,52,3,0.0018,"0.0792","4","4.4","9.9","2","5","1","0.022","4.7402","0.01","292.7002","7.8556","24.6791","0.2684","0.166","704","1234","125","275.2538","17.2333","0.2131","0","0","0","0","0","0","0"
444,42,3,0.0017,"0.0633","5","5.9","11.5","3","8","2","0.0374","8.9905","0.0249","488.599","13.0201","40.9038","0.2665","0.272","1795","2482","273","439.3207","45.7487","2.8564","0.3102","0.2683","0.0114","0.0452","0","0","0"
445,95,6,0.0012,"0.0675",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
446,57,10,0.0016,"0.0708",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
447,24,5,0.0022,"0.0724","7","7.2","12.3","3","9","3","0.0515","11.0103","0.0276","691.2451","17.0481","53.5581","0.2466","0.33","2077","3881","540","649.422","36.9121","3.6918","0.5258","0.4038","0.1565","0","0.0357","0","0.0181"
448,96,4,0.0025,"0.0879","7","6.3","8.8","4","9","3","0.0477","9.6561","0.0401","604.2419","18.0798","56.7994","0.2992","0.425","1534","3715","404","545.9276","52.974","4.3598","0.733","0.2314","0","0","0","0","0"
449,24,1,0.0023,"0.0755","4","5","7","2","4","1","0.0126","3.0134","0.0094","341.7352","8.5945","27.0003","0.2515","0.17","1573","1636","162","321.4165","18.992","1.1686","0.0611","0","0","0","0","0","0"
450,62,1,0.0023,"0.1183","4","5.1","9.8","2","6","2","0.0248","6.794","0.0204","614.4422","15.8572","49.817","0.2581","0.321","1766","2605","376","564.0561","49.2314","0.6422","0.4905","0","0","0","0","0","0"
451,61,6,0.0016,"0.0764","7","4.5","9.2","4","9","2","0.0277","6.8568","0.0292","987.0616","25.021","78.6059","0.2535","0.498","3265","5835","731","926.8208","54.3109","4.6876","0.9063","0.1961","0.0034","0","0","0","0"
452,75,2,0.0017,"0.0904","7","5.5","12.4","3","11","3","0.0565","14.5455","0.0268","558.496","15.8561","49.8133","0.2839","0.354","1902","3044","327","479.337","76.1566","2.2242","0.4053","0.2228","0.0103","0","0","0","0"
453,61,2,0.0021,"0.1168","4","6.2","11.5","2","7","2","0.0236","6.134","0.016","423.4803","12.835","40.3222","0.3031","0.306","1423","2043","175","382.2932","37.7901","3.2083","0.1887","0","0","0","0","0","0"
454,102,7,0.0021,"0.0765","7","4.3","8.5","3","10","2","0.042","8.9513","0.0301","823.4709","22.8871","71.9019","0.2779","0.5","2940","5154","462","760.0022","53.7034","7.5089","1.4931","0.4983","0.1327","0","0","0","0"
455,51,3,0.0025,"0.0692","7","3.9","9.3","3","9","3","0.0353","7.9924","0.0184","398.5695","10.9946","34.5406","0.2759","0.238","1172","2361","285","359.6414","35.3971","2.3632","0.7566","0.2141","0.1785","0","0","0","0"
456,52,6,0.0023,"0.0825","4","4.3","7.7","2","5","1","0.0178","4.3361","0.0146","368.9616","10.5399","33.1119","0.2857","0.236","1323","1821","154","338.2157","29.1101","1.495","0.1147","0","0","0","0","0","0"
457,14,8,0.0017,"0.0779","4","4.5","12.3","2","7","3","0.0361","10.8776","0.0234","700.5706","18.5496","58.2754","0.2648","0.386","1575","3570","576","633.9037","63.5596","2.0324","0.6914","0.0296","0","0","0","0","0.2543"
458,44,2,0.0029,"0.0986","7","4.8","10.8","3","8","3","0.0416","9.125","0.023","400.1221","12.2115","38.3637","0.3052","0.293","1200","2502","222","353.8476","40.3299","3.6062","0.6762","0.4673","0.3253","0","0","0.0527","0.7064"
459,63,6,0.002,"0.0747","7","4","9.9","3","13","3","0.0429","11.5771","0.0221","699.036","17.255","54.2082","0.2468","0.335","2424","3123","406","646.2456","51.0505","1.4116","0.1965","0","0","0","0","0","0"
460,7,10,0.0022,"0.0811","7","7","11.3","4","10","3","0.0714","12.5045","0.032","740.3416","19.1807","60.2579","0.2591","0.39","2226","3624","499","686.9265","48.4792","3.4323","0.7116","0.4577","0","0.0008","0.1676","0.0515","0"
461,87,7,0.0014,"0.075","7","6.5","9.2","4","8","3","0.059","12.6567","0.037","641.2593","19.5558","61.4364","0.305","0.468","1475","4573","424","576.8257","57.8378","4.5036","0.8826","0.2619","0.1657","0.0037","0.3274","0.1578","0.1505"
462,97,4,0.0022,"0.0895","11","8.6","8.2","4","9","3","0.0398","7.4537","0.0244","339.4624","11.3848","35.7665","0.3354","0.3","690","2363","212","293.4522","41.3728","3.2792","0.8003","0.409","0.1488","0","0","0","0"
463,62,10,0.0031,"0.1232","4","5","6.3","2","8","3","0.0182","5.7695","0.0171","578.6861","16.024","50.3409","0.2769","0.348","1722","2710","327","530.184","46.2491","1.8739","0.2625","0.0248","0","0","0","0","0"
464,45,4,0.0024,"0.0845","7","4","6.7","3","7","2","0.0189","4.8374","0.0134","464.8832","10.7343","33.7228","0.2309","0.195","1201","1853","258","446.8448","17.2936","0.5333","0.2115","0","0","0","0","0","0"
465,74,3,0.0027,"0.1142","7","5.2","10.9","3","8","3","0.0386","9.5276","0.0207","764.3112","17.6709","55.5149","0.2312","0.321","2688","3596","521","731.3373","32.1101","0.6604","0.1479","0","0","0","0","0","0"
466,46,1,0.0023,"0.087","7","5","5.7","3","6","2","0.0207","4.9213","0.0138","643.7657","15.2941","48.0479","0.2376","0.285","2483","3050","429","623.2488","19.7761","0.6967","0.0114","0","0","0","0","0","0"
467,74,5,0.0023,"0.0589",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
468,7,2,0.0022,"0.0896","7","4.2","8.4","3","9","2","0.0344","7.6148","0.0185","620.028","15.799","49.6341","0.2548","0.316","2090","3193","448","578.4627","39.1821","1.4078","0.0138","0.2678","0.1316","0.1774","0.2752","0.0331","0"
469,42,8,0.0024,"0.0824","7","4.9","12.1","3","12","3","0.0603","15.0932","0.0298","635.1312","19.8542","62.3738","0.3126","0.487","2276","4102","392","555.2953","72.7425","4.4747","0.9271","0.1351","0.308","0.3628","0.0366","0","0.8297"
470,2,10,0.002,NA,"7","4","9.5","3","9","3","0.0509","10.5603","0.0229","370.1789","11.8206","37.1356","0.3193","0.296","1199","1983","176","311.8966","53.9306","3.4604","0.488","0.2268","0","0","0","0","0"
471,7,5,0.0018,"0.071","7","3.8","8.8","3","9","3","0.0376","8.854","0.0155","489.6852","13.0274","40.9267","0.266","0.272","1290","2201","270","433.163","55.569","0.8503","0","0","0","0","0","0","0"
472,71,4,0.0013,"0.0666","7","4","8.4","3","9","2","0.0379","8.0182","0.0221","286.0009","8.8653","27.8511","0.31","0.216","869","1612","137","251.7299","29.9866","2.2452","0.8745","0.5585","0","0","0.1596","0","0.3329"
473,19,9,0.0036,"0.0939","3","5.4","10.8","3","9","3","0.0429","9.3913","0.0228","629.9519","16.9754","53.3298","0.2695","0.359","2152","3502","389","577.9967","48.7712","2.6743","0.4375","0.0304","0","0","0","0","0"
474,97,3,0.002,"0.0747","7","8.7","15.8","4","12","3","0.0829","19.0093","0.039","1019.9165","26.0152","81.7291","0.2551","0.521","2223","4255","610","957.0528","60.934","1.8061","0.0497","0","0","0","0","0","0"
475,53,1,0.0012,"0.0559",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
476,18,8,0.0014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
477,28,5,0.0015,"0.0525","7","6","11.5","3","10","3","0.0374","12.6235","0.0238","455.448","15.2456","47.8954","0.3347","0.401","1803","3223","258","382.4624","64.9537","6.3878","1.3211","0.078","0.2083","0","0","0","0"
478,76,1,0.0029,"0.1083","9","6.5","11.6","4","12","3","0.0599","13.2822","0.0271","761.4033","21.8618","68.6808","0.2871","0.493","2278","4131","387","687.9862","67.9054","5.2059","0.2106","0","0","0","0","0","0"
479,35,9,0.0015,"0.059","7","3.6","8.6","3","10","3","0.0346","9.2445","0.0191","305.2241","9.9574","31.2821","0.3262","0.255","1505","1642","120","258.8315","42.9426","1.5461","0.8499","0.3459","0.1588","0.0585","0.1444","0","0.279"
480,19,2,0.003,"0.0775","7","4.8","11.2","3","11","3","0.0597","13.5645","0.0308","588.8779","18.3137","57.5342","0.311","0.447","2320","3587","313","516.8594","62.0145","7.6819","1.9065","0.2633","0","0","0","0","0"
481,79,5,0.0014,"0.0803","7","4","7.7","3","10","2","0.0318","7.458","0.0188","369.3688","11.8226","37.1419","0.3201","0.297","1166","2494","224","316.4705","47.3156","2.8464","1.3096","0.2457","0.4925","0.3773","0.1523","0","0.1429"
