site,block,density_long,density,albedo,X,Y,genotype_batch,top,middle,bottom,genotype,growout_loc,growout_yr,source,harvest_stage,harvest_height,notes,status,5/9/22,5/18/22,5/26/22,6/3/22,6/7/22,6/13/22,6/17/22,6/21/22,6/23/22,6/24/22,6/27/22,6/28/22,6/29/22,6/30/22,7/7/22,7/11/22,7/14/22,7/18/22,7/22/22,7/27/22,check,,
Cheyenne,1,high,hi,white,4,4,88_Reno,orange,pink,pink,g88,Reno,2020,Schupp05,,,,WP,,,,,,,1SH,,WP,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,white,5,4,43_Reno,blue,pink,purple,g43,Reno,2020,Downs02,,,,WP,,,,,,,,WP,,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,white,6,4,73_Reno,pink,purple,blue,g73,Reno,2020,Pyke8,,,,WP,,,,,,,WP,,,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,white,7,4,56_Reno,pink,green,blue,g56,Reno,2020,JackieOtt5,,,,WP,,,,,,,,,,,,WP,,,,,,,,,IB,,
Cheyenne,1,high,hi,white,8,4,31_Reno,blue,green,blue,g31,Reno,2020,Urza1,,,,WP,,,,WP,,,,,,,,,,,,,,,,,H,,
Cheyenne,1,high,hi,white,9,4,34_Reno,blue,green,purple,g34,Reno,2020,Chambers06,,,,WP,,,,1SH,,,,WP,,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,white,10,4,53_Reno,blue,purple,orange,g53,Reno,2020,Hufft2,,,,WP,,,,,,,,WP,,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,white,1,5,43_Reno,blue,pink,purple,g43,Reno,2020,Downs02,,,,WP,,,,,,,WP,,,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,white,2,5,79_Reno,orange,green,blue,g79,Reno,2020,Pyle015,,,,WP,,,,,,,,,WP,,,,,,,,,,,,V3+,,
Cheyenne,1,high,hi,white,3,5,84_Reno,orange,blue,blue,g84,Reno,2020,Reed03,,,,WP,,,,,,,WP,,,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,white,4,5,51_Reno,blue,purple,blue,g51,Reno,2020,Holdrege1,,,,WP,,,,,,,1SH,WP,,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,white,5,5,18_Reno,green,orange,green,g18,Reno,2020,Adler18,,,,WP,,,,,,,WP,,,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,white,6,5,14_Reno,green,pink,pink,g14,Reno,2020,Adler13,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Cheyenne,1,high,hi,white,7,5,74_Reno,pink,purple,pink,g74,Reno,2020,Pyke21,,,,WP,,,,,,,WP,,,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,white,8,5,1_Reno,green,green,green,g1,Reno,2020,AAFC04,,,,WP,,,,,,,,,,,,WP,,,,,,,,,FG,,
Cheyenne,1,high,hi,white,9,5,35_Reno,blue,blue,green,g35,Reno,2020,Chambers07,,,,WP,,,,,,,,,WP,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,white,10,5,39_Reno,blue,blue,purple,g39,Reno,2020,Copeland05,,,,WP,,,,,,,,1SH,WP,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,white,1,6,54_Reno,blue,purple,purple,g54,Reno,2020,JackieOtt1,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Cheyenne,1,high,hi,white,2,6,79_Reno,orange,green,blue,g79,Reno,2020,Pyle015,,,,WP,,,,,,,,,WP,,,,,,,,,,,,FG,,
Cheyenne,1,high,hi,white,3,6,61_Reno,pink,blue,pink,g61,Reno,2020,Lee1,,,,,,,,1SH,,,,,,,,,,,,,,,,,FG,,
