,CommG,Density,Albedo,plot,Site.code,bulkYear,combCond,combCondPlot,x,y,genotypeID
78,HighBoise,lo,black,6,Adler17,2020,lo black HighBoise,lo black HighBoise 6,4,3,g17
79,HighBoise,lo,black,9,Adler17,2020,lo black HighBoise,lo black HighBoise 9,16,2,g17
80,HighBoise,lo,black,5,Adler17,2020,lo black HighBoise,lo black HighBoise 5,12,2,g17
81,HighBoise,lo,black,2,Adler17,2020,lo black HighBoise,lo black HighBoise 2,7,5,g17
82,HighBoise,lo,black,10,Adler17,2020,lo black HighBoise,lo black HighBoise 10,11,5,g17
83,HighBoise,lo,black,4,Adler17,2020,lo black HighBoise,lo black HighBoise 4,6,3,g17
84,HighBoise,lo,black,8,Adler17,2020,lo black HighBoise,lo black HighBoise 8,15,4,g17
85,HighBoise,lo,black,3,Adler17,2020,lo black HighBoise,lo black HighBoise 3,9,4,g17
86,HighBoise,lo,white,5,Adler17,2020,lo white HighBoise,lo white HighBoise 5,5,1,g17
87,HighBoise,lo,white,6,Adler17,2020,lo white HighBoise,lo white HighBoise 6,8,1,g17
88,HighBoise,lo,white,1,Adler17,2020,lo white HighBoise,lo white HighBoise 1,1,5,g17
89,HighBoise,lo,white,7,Adler17,2020,lo white HighBoise,lo white HighBoise 7,11,3,g17
90,HighBoise,lo,white,4,Adler17,2020,lo white HighBoise,lo white HighBoise 4,4,2,g17
91,HighBoise,lo,white,8,Adler17,2020,lo white HighBoise,lo white HighBoise 8,17,4,g17
92,HighBoise,lo,white,3,Adler17,2020,lo white HighBoise,lo white HighBoise 3,18,1,g17
93,HighBoise,lo,white,10,Adler17,2020,lo white HighBoise,lo white HighBoise 10,8,4,g17
94,HighBoise,lo,white,9,Adler17,2020,lo white HighBoise,lo white HighBoise 9,7,4,g17
95,HighBoise,lo,white,2,Adler17,2020,lo white HighBoise,lo white HighBoise 2,12,4,g17
96,HighBoise,hi,black,3,Adler17,2020,hi black HighBoise,hi black HighBoise 3,2,2,g17
97,HighBoise,hi,black,8,Adler17,2020,hi black HighBoise,hi black HighBoise 8,3,1,g17
98,HighBoise,hi,black,9,Adler17,2020,hi black HighBoise,hi black HighBoise 9,2,7,g17
99,HighBoise,hi,black,7,Adler17,2020,hi black HighBoise,hi black HighBoise 7,2,6,g17
100,HighBoise,hi,black,5,Adler17,2020,hi black HighBoise,hi black HighBoise 5,9,5,g17
101,HighBoise,hi,black,2,Adler17,2020,hi black HighBoise,hi black HighBoise 2,4,3,g17
102,HighBoise,hi,black,1,Adler17,2020,hi black HighBoise,hi black HighBoise 1,9,4,g17
103,HighBoise,hi,black,4,Adler17,2020,hi black HighBoise,hi black HighBoise 4,1,1,g17
104,HighBoise,hi,black,6,Adler17,2020,hi black HighBoise,hi black HighBoise 6,3,10,g17
105,HighBoise,hi,black,10,Adler17,2020,hi black HighBoise,hi black HighBoise 10,2,7,g17
106,HighBoise,hi,white,6,Adler17,2020,hi white HighBoise,hi white HighBoise 6,7,8,g17
107,HighBoise,hi,white,8,Adler17,2020,hi white HighBoise,hi white HighBoise 8,8,4,g17
108,HighBoise,hi,white,4,Adler17,2020,hi white HighBoise,hi white HighBoise 4,8,7,g17
109,HighBoise,hi,white,9,Adler17,2020,hi white HighBoise,hi white HighBoise 9,1,6,g17
110,HighBoise,hi,white,7,Adler17,2020,hi white HighBoise,hi white HighBoise 7,1,10,g17
111,HighBoise,hi,white,1,Adler17,2020,hi white HighBoise,hi white HighBoise 1,2,5,g17
112,HighBoise,hi,white,2,Adler17,2020,hi white HighBoise,hi white HighBoise 2,5,6,g17
113,HighBoise,hi,white,10,Adler17,2020,hi white HighBoise,hi white HighBoise 10,1,10,g17
