site,block,density_long,density,albedo,source,growout_yr,growout_loc,,,X,Y,genotype,genotype_batch
Cheyenne,1,high,hi,black,Pyke8,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,5,4,g73,73_Reno
Cheyenne,1,high,hi,black,Lee4,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,6,4,g64,64_Reno
Cheyenne,1,high,hi,black,Pyle010,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,7,4,g77,77_Reno
Cheyenne,1,high,hi,black,Barnett01,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,8,4,g19,19_Reno
Cheyenne,1,high,hi,black,Getts3,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,9,4,g49,49_Reno
Cheyenne,1,high,hi,black,Blumenthal08,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,10,4,g24,24_Reno
Cheyenne,1,high,hi,black,Schupp02,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,1,5,g12,12_Reno
Cheyenne,1,high,hi,black,Shriver02,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,2,5,g102,102_Reno
Cheyenne,1,high,hi,black,Shriver01,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,3,5,g101,101_Reno
Cheyenne,1,high,hi,black,Pyke3,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,4,5,g72,72_Reno
Cheyenne,1,high,hi,black,Downs01,2021,Logan,hi black Cheyenne,hi black Cheyenne 1,5,5,g42,42_Logan
Cheyenne,1,high,hi,black,Symstad1,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,6,5,g89,89_Reno
Cheyenne,1,high,hi,black,Pyle017,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,7,5,g81,81_Reno
Cheyenne,1,high,hi,black,Chambers06,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,8,5,g34,34_Reno
Cheyenne,1,high,hi,black,Pyke21,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,9,5,g74,74_Reno
Cheyenne,1,high,hi,black,Pyle019,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,10,5,g82,82_Reno
Cheyenne,1,high,hi,black,Pyle017,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,1,6,g81,81_Reno
Cheyenne,1,high,hi,black,Chambers01,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,2,6,g29,29_Reno
Cheyenne,1,high,hi,black,Adler05,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,3,6,g9,9_Reno
Cheyenne,1,high,hi,black,Reed03,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,4,6,g84,84_Reno
Cheyenne,1,high,hi,black,Lee3,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,5,6,g63,63_Reno
Cheyenne,1,high,hi,black,Adler17,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,6,6,g17,17_Reno
