Site,Date,Plot,Density,Albedo,x,y,genotype,growout,source,lat,lon,Live,V,height,Length_mm,herbivory,frost_heave,tillers,harvested,notes
SheepStation,11/12/2021,1,high,black,2,10,101,2020,Shriver01,34.06,-116.22,Y,V2,5,50,NA,NA,,,
SheepStation,11/12/2021,1,high,black,3,1,73,2020,Pyke8,46.74830998,-119.361636,Y,V0,5.5,55,NA,NA,,,
SheepStation,11/12/2021,1,high,black,3,2,36,2020,Chambers08,42.24,-114.57,Y,V0,4.5,45,NA,NA,,,
SheepStation,11/12/2021,1,high,black,3,3,83,2020,Reed01,38.52,-109.47,Y,V1,5.5,55,NA,NA,,,
SheepStation,11/12/2021,1,high,black,3,4,42,2021,Downs01,46.38145,-119.430272,Y,V1,5.3,53,NA,NA,,,
SheepStation,11/12/2021,1,high,black,3,5,74,2020,Pyke21,47.61803776,-119.6830115,Y,V1,4.5,45,NA,NA,,,
SheepStation,11/12/2021,1,high,black,3,6,9,2020,Adler05,40.79,-111.87,Y,V2,5.6,56,NA,NA,,,
SheepStation,11/12/2021,1,high,black,3,7,1,2020,AAFC04,50.08,-120.65,Y,V0,3.7,37,NA,NA,,,
SheepStation,11/12/2021,1,high,black,3,8,104,2020,Germino_BOP_01,43.4720833,-116.2338306,Y,V0,3.8,38,NA,NA,,,
SheepStation,11/12/2021,1,high,black,3,9,62,2020,Lee2,35.3984,-115.7845,Y,V2,5.5,55,NA,NA,,,
SheepStation,11/12/2021,1,high,black,3,10,104,2020,Germino_BOP_01,43.4720833,-116.2338306,Y,V0,4,40,NA,NA,,,
SheepStation,11/12/2021,1,high,black,4,1,7,2020,AAFC10,49.71,-120.05,Y,V0,4.5,45,NA,NA,,,
SheepStation,11/12/2021,1,high,black,4,2,19,2020,Barnett01,43.48,-110.74,Y,V0,2.5,25,NA,NA,,,
SheepStation,11/12/2021,1,high,black,4,3,100,2020,Chynoweth08,40.640878,-109.48689,Y,V2,5,50,NA,NA,,,
SheepStation,11/12/2021,1,high,black,4,4,56,2020,JackieOtt5,43.78,-102.61,Y,V0,4.2,42,NA,NA,,,
SheepStation,11/12/2021,1,high,black,4,5,92,2020,Symstad4,43.71,-102.58,Y,V2,4.2,42,NA,NA,,,
SheepStation,11/12/2021,1,high,black,4,6,57,2020,JackieOtt6,43.84,-101.94,Y,V2,4.1,41,NA,NA,,,
SheepStation,11/12/2021,1,high,black,4,7,52,2020,Hufft1,38.6701,-108.3286,Y,V1,5,50,NA,NA,,,
SheepStation,11/12/2021,1,high,black,4,8,33,2020,Chambers05,41.54,-117.75,Y,V2,5.5,55,NA,NA,,,
SheepStation,11/12/2021,1,high,black,4,9,13,2020,Schupp01,39.85,-112.15,Y,V0,4.5,45,NA,NA,,,
SheepStation,11/12/2021,1,high,black,4,10,87,2021,Schupp04,38.52,-113.55,Y,V0,4,40,NA,NA,,,
SheepStation,11/12/2021,1,high,black,5,1,18,2020,Adler18,40.86,-114.22,Y,V1,5.1,51,NA,NA,,,
SheepStation,11/12/2021,1,high,black,5,2,105,2021,Blumenthal10,40.92,-102.52,N,NA,NA,NA,NA,NA,,,
SheepStation,11/12/2021,1,high,black,5,3,88,2020,Schupp05,39.11,-112.74,Y,V1,4.6,46,NA,NA,,,
SheepStation,11/12/2021,1,high,black,5,4,42,2020,Downs01,46.38145,-119.430272,Y,V1,4.8,48,NA,NA,,,
SheepStation,11/12/2021,1,high,black,5,5,61,2020,Lee1,36.82340833,-116.0163889,Y,V2,5.1,51,NA,NA,,,
SheepStation,11/12/2021,1,high,black,5,6,98,2021,Chynoweth05,40.480805,-109.438229,Y,V1,4.7,47,NA,NA,,,
SheepStation,11/12/2021,1,high,black,5,7,26,2020,Chynoweth01,39.76604,-109.5635,Y,V2,4.2,42,NA,NA,,,
SheepStation,11/12/2021,1,high,black,5,8,97,2020,Chynoweth03,39.83576,-109.61202,N,NA,NA,NA,NA,NA,,,
SheepStation,11/12/2021,1,high,black,5,9,11,2020,Adler09,43.31,-112.27,Y,V1,4.9,49,NA,NA,,,
SheepStation,11/12/2021,1,high,black,5,10,31,2020,Uzra1,40.35,-119.34,Y,V2,5,50,NA,NA,,,
SheepStation,11/12/2021,1,high,black,6,1,62,2020,Lee2,35.3984,-115.7845,Y,V2,5.6,56,NA,NA,,,
