plantID,site,year,density,albedo,block,plot,x,y,genotype,emergence,first_flower,v_phen,last_phen_status,note_standard_phen,live_harvest,v_harvest,tillers,veg_mass,inflor_mass,seed_count_total,note_standard_harvest
SS2022_3669,SS,2022,hi,black,10,1,8,4,100,Y,154,FG,Y,NA,Y,FP,1,0.07,0.04,13,NA
SS2022_3674,SS,2022,hi,black,10,1,8,9,73,Y,154,FG,Y,NA,Y,FP,1,0.05,0.07,21,NA
SS2022_3681,SS,2022,hi,black,10,1,9,1,92,Y,140,FG,Y,NA,Y,FP,1,0.08,0.11,27,NA
SS2022_3682,SS,2022,hi,black,10,1,9,2,32,Y,125,FG,Y,NA,Y,FP,2,0.17,0.28,88,NA
SS2022_3683,SS,2022,hi,black,10,1,9,3,91,Y,166,FG,Y,NA,Y,FP,1,0.09,0.12,37,NA
SS2022_3684,SS,2022,hi,black,10,1,9,4,7,Y,166,FG,Y,NA,Y,FP,1,0.09,0.09,30,NA
SS2022_3685,SS,2022,hi,black,10,1,9,5,14,Y,154,FG,Y,NA,Y,FP,1,0.17,0.26,81,NA
SS2022_3686,SS,2022,hi,black,10,1,9,6,90,Y,154,FG,Y,NA,Y,FP,2,0.23,0.25,74,NA
SS2022_3687,SS,2022,hi,black,10,1,9,7,7,Y,154,FG,Y,NA,Y,FP,2,0.12,0.08,29,NA
SS2022_3689,SS,2022,hi,black,10,1,9,9,24,Y,154,FG,Y,NA,Y,FP,1,0.13,0.13,40,NA
SS2022_609,SS,2022,hi,black,2,3,1,1,97,Y,138,FG,Y,NA,Y,FP,1,0.02,0.02,11,NA
SS2022_625,SS,2022,hi,black,2,3,1,10,81,Y,165,FG,Y,NA,Y,FG_FP,3,0.34,0.5,167,NA
SS2022_617,SS,2022,hi,black,2,3,1,2,19,Y,138,FG,Y,NA,Y,FP,1,0.18,0.18,55,NA
SS2022_618,SS,2022,hi,black,2,3,1,3,60,Y,165,FG,Y,NA,Y,FG_FP,2,0.46,0.39,189,NA
SS2022_620,SS,2022,hi,black,2,3,1,5,12,Y,138,FG,Y,NA,Y,FP,3,0.54,0.48,186,NA
SS2022_621,SS,2022,hi,black,2,3,1,6,28,Y,138,FG,Y,NA,Y,FG_FP,3,0.22,0.28,62,NA
SS2022_622,SS,2022,hi,black,2,3,1,7,103,Y,151,FG,Y,NA,Y,FP,3,0.29,0.29,72,NA
SS2022_623,SS,2022,hi,black,2,3,1,8,45,Y,151,FG,Y,NA,Y,FG_FP,2,0.2,0.44,122,NA
SS2022_695,SS,2022,hi,black,2,3,10,10,53,Y,138,FG,Y,NA,Y,FG_FP,3,0.27,0.44,138,NA
SS2022_613,SS,2022,hi,black,2,3,10,3,17,Y,165,FG,Y,NA,Y,FP,1,0.06,0.13,43,NA
SS2022_689,SS,2022,hi,black,2,3,10,4,29,Y,186,FG,Y,NA,Y,FG,1,0.01,0.003,0,NA
SS2022_690,SS,2022,hi,black,2,3,10,5,46,Y,165,FG,Y,NA,Y,FP,2,0.14,0.22,79,NA
SS2022_691,SS,2022,hi,black,2,3,10,6,33,Y,138,FG,Y,NA,Y,FG_FP,4,0.48,0.57,158,NA
SS2022_692,SS,2022,hi,black,2,3,10,7,61,Y,138,FG,Y,NA,Y,FP,1,0.09,0.14,54,NA
SS2022_605,SS,2022,hi,black,2,3,2,1,18,Y,138,FG,Y,NA,Y,FG_FP,2,0.07,0.09,25,NA
SS2022_632,SS,2022,hi,black,2,3,2,10,42,Y,138,FG,Y,NA,Y,FG_FP,3,0.08,0.12,29,NA
SS2022_606,SS,2022,hi,black,2,3,2,2,32,Y,138,FG,Y,NA,Y,FG_FP_D,3,0.1,0.16,33,NA
