"plantID","missing_plant","emergence_date","death_date","resurrection_date","pheno_regress","growth_regress_mm","herbivory_date","frostheave_date","bad_position","other"
"CH_2022_284",NA,73,NA,NA,-2,-20,NA,NA,NA,NA
"CH_2022_205",NA,73,NA,NA,NA,-3,NA,NA,NA,NA
"CH_2022_295",NA,73,160,NA,-2,-30,NA,NA,NA,NA
"CH_2022_215",NA,73,148,NA,-2,-23,NA,NA,NA,NA
"CH_2022_225",NA,73,148,NA,NA,-11,NA,NA,NA,NA
"CH_2022_235",NA,73,NA,NA,NA,-22,NA,NA,NA,NA
"CH_2022_245",NA,73,NA,NA,NA,-5,NA,NA,NA,NA
"CH_2022_255",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CH_2022_265",NA,73,NA,NA,NA,-4,NA,NA,NA,NA
"CH_2022_275",NA,73,NA,NA,NA,-3,NA,NA,NA,NA
"CH_2022_285",NA,73,NA,NA,NA,-1,NA,NA,NA,NA
"CH_2022_206",NA,73,NA,NA,NA,-3,NA,NA,NA,NA
"CH_2022_296",NA,73,148,160,NA,-2,NA,NA,NA,NA
"CH_2022_216",NA,73,NA,NA,-2,-6,NA,NA,NA,NA
"CH_2022_226",NA,73,NA,NA,NA,-4,NA,NA,NA,NA
"CH_2022_236",NA,73,NA,NA,NA,-6,NA,NA,NA,NA
"CH_2022_246",NA,73,148,NA,NA,NA,NA,NA,NA,NA
"CH_2022_256",NA,73,NA,NA,NA,-2,87,NA,NA,NA
"CH_2022_266",NA,73,NA,NA,NA,-7,NA,NA,NA,NA
"CH_2022_276",NA,73,NA,NA,NA,-1,NA,NA,NA,NA
"CH_2022_286",NA,73,NA,NA,NA,-3,NA,NA,NA,NA
"CH_2022_207",NA,73,NA,NA,NA,NA,NA,NA,NA,NA
"CH_2022_297",NA,73,NA,NA,-1,NA,NA,NA,NA,NA
"CH_2022_217",NA,73,NA,NA,-1,-3,NA,NA,NA,NA
"CH_2022_227",NA,73,NA,NA,-1,NA,NA,NA,NA,NA
"CH_2022_237",NA,73,NA,NA,NA,-2,NA,NA,NA,NA
"CH_2022_247",NA,73,NA,NA,NA,-4,NA,NA,NA,NA
"CH_2022_257",NA,73,NA,NA,NA,NA,NA,NA,NA,NA
"CH_2022_267",NA,73,NA,NA,-1,NA,NA,NA,NA,NA
"CH_2022_277",NA,73,NA,NA,NA,-8,NA,NA,NA,NA
"CH_2022_287",NA,73,NA,NA,NA,NA,NA,NA,NA,NA
"CH_2022_208",NA,73,NA,NA,NA,-14,NA,NA,NA,NA
"CH_2022_298",NA,73,NA,NA,NA,-2,NA,NA,NA,NA
"CH_2022_218",NA,73,NA,NA,NA,-2,NA,NA,NA,NA
"CH_2022_228",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CH_2022_238",NA,73,NA,NA,NA,NA,NA,NA,NA,NA
"CH_2022_248",NA,73,NA,NA,NA,-1,NA,NA,NA,NA
"CH_2022_258",NA,73,NA,NA,NA,-1,NA,NA,NA,NA
"CH_2022_268",NA,73,129,NA,NA,-13,NA,NA,NA,NA
"CH_2022_278",NA,73,NA,NA,NA,-1,NA,NA,NA,NA
"CH_2022_288",NA,73,NA,NA,NA,-10,NA,NA,NA,NA
"CH_2022_209",NA,73,NA,NA,NA,-8,87,NA,NA,NA
"CH_2022_299",NA,73,160,NA,NA,-19,NA,NA,NA,NA
"CH_2022_219",NA,73,NA,NA,NA,-6,NA,NA,NA,NA
"CH_2022_229",NA,73,NA,NA,NA,-2,NA,NA,NA,NA
"CH_2022_239",NA,73,NA,NA,NA,NA,NA,NA,NA,NA
"CH_2022_249",NA,73,NA,NA,NA,NA,NA,NA,NA,NA
"CH_2022_259",NA,73,NA,NA,-1,-15,NA,NA,NA,NA
"CH_2022_269",NA,73,NA,NA,NA,-2,NA,NA,NA,NA
"CH_2022_279",NA,73,148,NA,NA,-21,NA,NA,NA,NA
"CH_2022_289",NA,73,148,160,NA,NA,NA,NA,NA,NA
"CH_2022_101",NA,74,NA,NA,NA,-5,NA,NA,NA,NA
"CH_2022_121",NA,74,NA,NA,-1,-5,NA,NA,NA,NA
"CH_2022_141",NA,74,NA,NA,-1,-15,NA,NA,NA,NA
