block,plot,x,y,genotype,growout,harvest_date,density,albedo,live_harvest,v_harvest,harvest,tillers,biomass_whole,inflor_mass,note_standard_harvest,plantID,site,year,first_flower,live,v,herbivory,frost_heave,note_standard
2,2,2,2,89,2020,2023-07-17,low,black,Y,FP,N,5,0.499,1.403,NA,SS2023_410,SS,2023,198,Y,FP,NA,NA,NA
2,2,1,2,6,2020,2023-07-17,low,black,Y,FP,N,15,3.28,3.55,NA,SS2023_414,SS,2023,198,Y,FP,NA,NA,NA
2,2,9,4,91,2020,2023-07-17,low,black,Y,FP,N,11,1.125,1.777,NA,SS2023_420,SS,2023,198,Y,FP,NA,NA,NA
2,2,12,4,14,2020,2023-07-04,low,black,Y,FG,Y,11,1.067,0.583,smut,SS2023_426,SS,2023,185,Y,FG,NA,NA,NA
2,2,13,4,51,2020,2023-07-10,low,black,Y,FP,Y,12,1.57,2.22,NA,SS2023_431,SS,2023,191,Y,FP,NA,NA,NA
2,2,14,4,24,2020,2023-07-10,low,black,Y,FP,Y,12,1.339,1.291,NA,SS2023_436,SS,2023,191,Y,FP,NA,NA,NA
1,1,5,4,33,2020,2023-07-10,high,black,Y,FB,Y,1,0.032,0.053,NA,SS2023_44,SS,2023,191,Y,FB,NA,NA,NA
2,2,6,5,75,2020,2023-07-10,low,black,Y,FP,Y,16,1.84,2.18,NA,SS2023_449,SS,2023,191,Y,FP,NA,NA,NA
1,1,5,5,62,2020,2023-07-10,high,black,Y,FG,Y,2,0.23,0.22,NA,SS2023_45,SS,2023,191,Y,FG,NA,NA,NA
2,2,5,1,83,2020,2023-07-10,low,black,Y,FP,Y,6,0.63,0.7,NA,SS2023_465,SS,2023,191,Y,FP,NA,NA,NA
2,2,5,5,68,2020,2023-07-10,low,black,Y,FP,Y,5,0.34,0.37,NA,SS2023_469,SS,2023,191,Y,FP,NA,NA,NA
1,1,5,7,49,2020,2023-07-10,high,black,Y,FB,Y,1,0.013,0.02,seed_drop,SS2023_47,SS,2023,191,Y,FB,NA,NA,NA
2,2,6,2,12,2020,2023-07-17,low,black,Y,FG,N,3,0.502,0.448,NA,SS2023_471,SS,2023,198,Y,FG,Y,NA,NA
2,2,10,5,35,2020,2023-07-10,low,black,Y,FP,Y,12,1.189,1.455,NA,SS2023_478,SS,2023,191,Y,FP,NA,NA,NA
2,2,11,1,9,2020,2023-07-04,low,black,Y,FG,Y,7,0.43,0.72,smut,SS2023_479,SS,2023,185,Y,FG,NA,NA,NA
2,3,6,4,19,2020,2023-07-10,high,black,Y,FP,Y,2,0.055,0.12,NA,SS2023_486,SS,2023,191,Y,FP,NA,NA,NA
2,3,2,7,1,2020,2023-07-10,high,black,Y,FP,Y,2,0.2,0.37,NA,SS2023_507,SS,2023,191,Y,FP,NA,NA,NA
1,1,6,1,53,2020,2023-07-10,high,black,Y,FP,Y,1,0.011,0.029,NA,SS2023_51,SS,2023,191,Y,FP,NA,NA,NA
2,3,3,4,69,2020,2023-07-10,high,black,Y,FP,Y,1,0.06,0.13,NA,SS2023_514,SS,2023,191,Y,FP,NA,NA,NA
2,3,8,9,44,2020,2023-06-14,high,black,Y,FG,Y,2,0.1,0.035,smut,SS2023_553,SS,2023,165,Y,FG,NA,NA,NA
2,4,2,2,91,2020,2022-06-26,high,white,Y,FG,Y,1,0.047,0.041,smut,SS2023_571,SS,2023,177,Y,FG,NA,NA,NA
2,4,6,5,81,2020,2023-07-10,high,white,Y,FP,Y,1,0.07,0.12,NA,SS2023_578,SS,2023,191,Y,FP,NA,NA,NA
2,4,3,10,39,2020,2023-07-10,high,white,Y,FP,Y,2,0.013,0.026,NA,SS2023_579,SS,2023,191,Y,FP,NA,NA,NA
1,1,6,8,91,2020,2023-07-10,high,black,Y,FP,Y,7,1.11,1.41,NA,SS2023_58,SS,2023,191,Y,FP,NA,NA,NA
2,4,5,3,52,2020,2023-06-26,high,white,Y,FG,Y,1,0.044,0.042,smut,SS2023_592,SS,2023,177,Y,FG,NA,NA,NA
2,4,7,2,36,2020,2023-07-10,high,white,Y,FP,Y,2,0.039,0.08,NA,SS2023_599,SS,2023,191,Y,FP,NA,NA,NA
2,4,7,7,7,2020,2023-07-10,high,white,Y,FG,Y,1,0.021,0.046,NA,SS2023_604,SS,2023,191,Y,FG,NA,NA,NA
2,4,8,3,1,2020,2023-07-10,high,white,Y,FP,Y,1,0.17,0.06,NA,SS2023_610,SS,2023,191,Y,FP,NA,NA,NA
2,4,8,6,90,2020,2023-07-04,high,white,Y,FP,Y,1,0.048,0.07,NA,SS2023_613,SS,2023,185,Y,FP,NA,NA,NA
2,4,2,10,44,2020,2023-07-10,high,white,Y,FP,Y,1,0.015,0.026,NA,SS2023_624,SS,2023,191,Y,FP,NA,NA,NA
2,4,3,8,76,2020,2023-07-04,high,white,Y,FP,Y,1,0.039,0.06,NA,SS2023_632,SS,2023,185,Y,FP,NA,NA,NA
3,1,1,3,57,2020,2023-07-04,high,white,Y,FP,Y,1,0.003,0.007,NA,SS2023_644,SS,2023,185,Y,FP,NA,NA,NA
3,1,2,6,51,2020,2023-07-10,high,white,Y,FP,Y,1,0.009,0.019,NA,SS2023_653,SS,2023,191,Y,FP,NA,NA,NA
3,1,1,9,45,2020,2023-07-10,high,white,Y,FP,Y,2,0.023,0.043,NA,SS2023_654,SS,2023,191,Y,FP,NA,NA,NA
3,1,7,6,79,2020,2023-06-26,high,white,Y,FG,Y,2,0.033,0.019,smut,SS2023_670,SS,2023,177,Y,FG,NA,NA,NA
3,1,7,10,81,2020,2023-07-10,high,white,Y,FP,Y,1,0.017,0.05,NA,SS2023_674,SS,2023,191,Y,FP,NA,NA,NA
3,1,8,6,1,2020,2023-07-10,high,white,Y,FP,Y,1,0.03,0.08,NA,SS2023_680,SS,2023,191,Y,FP,NA,NA,NA
3,1,8,7,91,2020,2023-07-10,high,white,Y,FP,Y,1,0.04,0.1,NA,SS2023_681,SS,2023,191,Y,FP,NA,NA,NA
3,1,4,10,44,2020,2023-07-10,high,white,Y,FG,Y,2,0.12,0.21,NA,SS2023_696,SS,2023,191,Y,FG,NA,NA,NA
3,1,5,1,71,2020,2023-07-04,high,white,Y,FP,Y,1,0.016,0.029,NA,SS2023_697,SS,2023,185,Y,FP,NA,NA,NA
3,1,5,2,91,2020,2023-07-10,high,white,Y,FP,Y,2,0.04,0.1,NA,SS2023_698,SS,2023,191,Y,FP,NA,NA,NA
3,1,5,3,7,2020,2023-06-26,high,white,Y,FG,Y,3,0.056,0.03,smut,SS2023_699,SS,2023,177,Y,FG,NA,NA,NA
3,1,6,1,104,2020,2023-07-04,high,white,Y,FP,Y,1,0.004,0.007,NA,SS2023_707,SS,2023,185,Y,FP,NA,NA,NA
3,1,2,9,73,2020,2023-07-10,high,white,Y,FP,Y,1,0.005,0.014,NA,SS2023_711,SS,2023,191,Y,FP,NA,NA,NA
