"plantID","missing_plant","emergence_date","death_date","resurrection_date","pheno_regress","growth_regress_mm","herbivory_date","frostheave_date","bad_position","other"
"Boise2022_112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_113",NA,-21,96,NA,NA,NA,NA,NA,NA,NA
"Boise2022_114",NA,-21,96,NA,NA,NA,NA,NA,NA,NA
"Boise2022_115",NA,96,143,NA,NA,NA,NA,NA,NA,NA
"Boise2022_116",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_117",NA,-21,96,NA,NA,NA,NA,NA,NA,NA
"Boise2022_118",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_119",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_121",NA,-21,143,NA,NA,NA,NA,NA,NA,NA
"Boise2022_122",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_123",NA,-21,96,NA,NA,NA,NA,NA,NA,NA
"Boise2022_124",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_125",NA,-21,96,NA,NA,NA,NA,NA,NA,NA
"Boise2022_126",NA,-21,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_127",NA,-21,96,NA,NA,NA,NA,NA,NA,NA
"Boise2022_128",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_129",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_130",NA,-21,96,NA,NA,NA,NA,NA,NA,NA
"Boise2022_131",NA,-21,143,157,NA,NA,NA,NA,NA,NA
"Boise2022_132",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_133",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_134",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_135",NA,-21,96,NA,NA,NA,NA,NA,NA,NA
"Boise2022_136",NA,96,NA,NA,-1,NA,NA,NA,NA,NA
"Boise2022_137",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_138",NA,-21,96,NA,NA,NA,NA,NA,NA,NA
"Boise2022_139",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_140",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_141",NA,96,143,NA,-2,-10,NA,NA,NA,NA
"Boise2022_142",NA,-21,96,NA,NA,NA,NA,NA,NA,NA
"Boise2022_143",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_144",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_145",NA,-21,96,NA,NA,NA,NA,NA,NA,NA
"Boise2022_146",NA,96,157,180,NA,NA,NA,NA,NA,NA
