"plantID","jday","live","v","herbivory","frost_heave","harvested","notes"
"CH_2023_1011",114,"Y","V3+",NA,NA,"N","E"
"CH_2023_1011",129,"Y","V3+",NA,NA,"N","E"
"CH_2023_1011",142,"Y","V3+",NA,NA,"N","E"
"CH_2023_1011",156,"Y","FG",NA,NA,"N","E"
"CH_2023_1011",171,"Y","FG",NA,NA,"N","E"
"CH_2023_1011",187,"Y","FG",NA,NA,"N","E"
"CH_2023_1011",199,"Y","FG",NA,NA,"N","E, MOSTLY HARVESTED"
"CH_2023_1012",101,"N",NA,NA,NA,"N",NA
"CH_2023_1012",114,"N",NA,NA,NA,"N",NA
"CH_2023_1012",129,"N",NA,NA,NA,"N",NA
"CH_2023_1012",142,"N",NA,NA,NA,"N","NEVER EMERGED"
"CH_2023_1012",156,"N",NA,NA,NA,"N","NEVER EMERGED"
"CH_2023_1012",171,"N",NA,NA,NA,"N","NEVER EMERGED"
"CH_2023_1012",187,"N",NA,NA,NA,"N","NEVER EMERGED"
"CH_2023_1012",199,"N",NA,NA,NA,"N","NEVER EMERGED"
"CH_2023_1013",101,"Y","V3",NA,NA,"N","D"
"CH_2023_1013",114,"Y","V2",NA,NA,"N","D"
"CH_2023_1013",129,"Y","V3",NA,NA,"N","D"
"CH_2023_1013",142,"N",NA,NA,NA,"N","D"
"CH_2023_1013",156,"N",NA,NA,NA,"N","D, ANTHILL"
"CH_2023_1013",171,"N",NA,NA,NA,"N","D"
"CH_2023_1013",187,"N",NA,NA,NA,"N","D"
"CH_2023_1013",199,"N",NA,NA,NA,"N","D, ANTHILL"
"CH_2023_1014",101,"Y","V3",NA,NA,"N","E"
"CH_2023_1014",114,"Y","V3",NA,NA,"N","E"
"CH_2023_1014",129,"Y","V3",NA,NA,"N","E, SICKLY"
"CH_2023_1014",142,"Y","V3",NA,NA,"N","E, ANTHILL"
"CH_2023_1014",156,"N",NA,NA,NA,"N","D, ANTHILL"
