site_code,longitude,latitude,genotype,bioclim1,bioclim2,bioclim3,bioclim4,bioclim5,bioclim6,bioclim7,bioclim8,bioclim9,bioclim10,bioclim11,bioclim12,bioclim13,bioclim14,bioclim15,bioclim16,bioclim17,bioclim18,bioclim19
Adler16,-110.2,41.78,16,6.4500000000000455,12.4,0.3119999885559082,981.2,28.350000000000023,-11.249999999999943,39.6,-11.249999999999943,-6.0499999999999545,19.350000000000023,-6.0499999999999545,223.3,30.6,10.3,31,75,34,61.1,34
Adler17,-110.11,41.44,17,5.9500000000000455,13.5,0.3309999942779541,986.3000000000001,28.150000000000034,-12.549999999999955,40.7,-12.549999999999955,-6.649999999999977,18.950000000000045,-6.649999999999977,225.20000000000002,29.5,10.9,26.900000000000002,73.4,37.6,58.400000000000006,37.6
Adler18,-114.22,40.86,18,11.650000000000034,11.9,0.29800000190734866,967.5,32.85000000000002,-7.149999999999977,40,-7.149999999999977,-0.7499999999999432,24.450000000000045,-0.7499999999999432,169.70000000000002,21.900000000000002,9.9,22.5,55.1,35.800000000000004,37.300000000000004,35.800000000000004
Barnett01,-110.74,43.48,19,4.150000000000034,11.600000000000001,0.3329999923706055,807.2,24.05000000000001,-10.749999999999943,34.800000000000004,-10.749999999999943,14.650000000000034,14.950000000000045,-5.749999999999943,814.9000000000001,92.9,47.1,21.200000000000003,259.6,151.20000000000002,164.60000000000002,242.10000000000002
Baughman3,-118.96,42.81,20,9.050000000000011,11.700000000000001,0.322000002861023,856.9000000000001,30.05000000000001,-6.249999999999943,36.300000000000004,-6.249999999999943,20.250000000000057,20.450000000000045,-1.4499999999999886,343.5,48.5,10,39.900000000000006,121.5,35.6,49.6,93.9
Baughman2,-118.87,43.05,21,9.950000000000045,11.600000000000001,0.3230000019073487,849.9000000000001,30.850000000000023,-5.0499999999999545,35.9,-5.0499999999999545,21.05000000000001,21.250000000000057,-0.44999999999998863,273.8,39.300000000000004,8,39.6,94.2,28.1,42.900000000000006,75.8
Baughman5,-120.08,42.72,22,8.050000000000011,11.600000000000001,0.3269999980926514,835.7,28.350000000000023,-7.249999999999943,35.6,-7.249999999999943,18.950000000000045,19.150000000000034,-2.1499999999999773,313,39.2,11.8,32.4,103.60000000000001,41.5,50.1,83.5
Hufbauer01,-105.144169,40.559085,23,8.950000000000045,13.700000000000001,0.3829999923706055,819.5,28.950000000000045,-6.849999999999966,35.800000000000004,-6.849999999999966,-1.2499999999999432,19.850000000000023,-1.2499999999999432,459.90000000000003,77.2,10.5,50,187.10000000000002,45,148.1,45
Blumenthal08,-104.56,40.64,24,9.950000000000045,13.9,0.3710000038146973,877.8000000000001,30.950000000000045,-6.449999999999989,37.4,-6.449999999999989,-1.0499999999999545,21.55000000000001,-1.0499999999999545,355.70000000000005,58.800000000000004,7,60.5,161.70000000000002,24.200000000000003,147.8,24.200000000000003
Symstad6,-103.71,41.83,25,9.750000000000057,13.3,0.35499999523162845,890.7,31.150000000000034,-6.249999999999943,37.4,-6.249999999999943,-1.2499999999999432,21.650000000000034,-1.2499999999999432,429.90000000000003,78.10000000000001,7.9,62.800000000000004,199.20000000000002,31.900000000000002,172.5,31.900000000000002
Chynoweth01,-109.5635,39.76604,26,9.550000000000011,12.200000000000001,0.3069999933242798,990.5,30.650000000000034,-9.149999999999977,39.800000000000004,-9.149999999999977,-3.249999999999943,22.450000000000045,-3.249999999999943,303.6,41,13.600000000000001,36.5,113.30000000000001,44.2,96.10000000000001,44.2
Board1,-117.57,38.84,27,7.750000000000057,11.100000000000001,0.3059999942779541,907.9000000000001,27.750000000000057,-8.549999999999955,36.300000000000004,-8.549999999999955,19.450000000000045,19.750000000000057,-3.4499999999999886,208.9,26.400000000000002,11.700000000000001,20.8,67.4,44.6,49.400000000000006,47.400000000000006
Bradford01,-111.62,35.23,28,9.150000000000034,11.9,0.3700000047683716,766.1,26.650000000000034,-5.5499999999999545,32.2,-5.5499999999999545,13.050000000000011,19.150000000000034,-0.44999999999998863,570.2,85.4,11.3,42.300000000000004,215.60000000000002,61.1,167.8,161.4
Chambers01,-119.58,39.55,29,11.850000000000023,12,0.32999999523162843,858.2,32.05000000000001,-4.349999999999966,36.4,-4.349999999999966,22.850000000000023,23.05000000000001,1.150000000000034,207.60000000000002,28.700000000000003,5.800000000000001,44.800000000000004,82.2,22.200000000000003,24.700000000000003,82.2
Chambers02,-118.76,39.95,30,13.350000000000023,12.4,0.3259999990463257,905.7,33.650000000000034,-4.349999999999966,38,-4.349999999999966,24.650000000000034,25.250000000000057,1.8500000000000227,148.5,19.700000000000003,3,35.4,48.5,17.3,21.900000000000002,43.5
