block,density,gravel,x,y,seed_count_total,inflor_mass,biomass_whole,tillers,standard_note,all_seed_drop,herbivory,physical_damage,seed_drop,smut,plantID,site,genotype,first_flower,live,v
7,hi,white,4,6,24,0.06,0.03,1,NA,NA,NA,NA,NA,NA,Boise2022_6636,WI,57,130,Y,FG
7,hi,white,4,7,58,0.14,0.09,1,NA,NA,NA,NA,NA,NA,Boise2022_6637,WI,8,130,Y,FG
7,hi,white,4,8,14,0.02,0.03,1,NA,NA,NA,NA,NA,NA,Boise2022_6638,WI,88,130,Y,FP
7,hi,white,4,9,20,0.05,0.04,1,NA,NA,NA,NA,NA,NA,Boise2022_6639,WI,90,153,Y,FB
7,hi,white,5,1,58,0.14,0.1,3,NA,NA,NA,NA,NA,NA,Boise2022_6641,WI,72,153,Y,FB
7,hi,white,5,10,7,0.02,0.02,1,NA,NA,NA,NA,NA,NA,Boise2022_6650,WI,16,130,Y,FG
7,hi,white,5,4,25,0.05,0.05,1,NA,NA,NA,NA,NA,NA,Boise2022_6644,WI,58,147,Y,FP
7,hi,white,5,5,23,0.12,0.07,1,NA,NA,NA,NA,NA,NA,Boise2022_6645,WI,101,130,Y,FP
7,hi,white,5,7,16,0.08,0.04,1,NA,NA,NA,NA,NA,NA,Boise2022_6647,WI,62,130,Y,FG
7,hi,white,5,8,72,0.13,0.08,2,NA,NA,NA,NA,NA,NA,Boise2022_6648,WI,104,130,Y,FG
7,hi,white,5,9,24,0.05,0.05,1,NA,NA,NA,NA,NA,NA,Boise2022_6649,WI,77,130,Y,FG
7,hi,white,6,6,40,0.1,0.07,1,NA,NA,NA,NA,NA,NA,Boise2022_6656,WI,76,153,Y,FP
7,hi,white,6,7,20,0.03,0.04,1,NA,NA,NA,NA,NA,NA,Boise2022_6657,WI,24,130,Y,FG
7,hi,white,6,8,273,0.71,0.33,4,NA,NA,NA,NA,NA,NA,Boise2022_6658,WI,34,130,Y,FP
7,hi,white,6,9,14,0.01,0.02,1,NA,NA,NA,NA,NA,NA,Boise2022_6659,WI,79,130,Y,FG
7,hi,white,7,10,14,0.02,0.02,1,NA,NA,NA,NA,NA,NA,Boise2022_6670,WI,35,153,Y,FB
7,hi,white,7,4,12,0.02,0.03,1,NA,NA,NA,NA,NA,NA,Boise2022_6664,WI,89,153,Y,FB
7,hi,white,7,5,50,0.13,0.1,1,NA,NA,NA,NA,NA,NA,Boise2022_6665,WI,14,130,Y,FG
7,hi,white,7,6,41,0.13,0.14,3,NA,NA,NA,NA,NA,NA,Boise2022_6666,WI,65,130,Y,FG
7,hi,white,7,7,20,0.04,0.03,1,NA,NA,NA,NA,NA,NA,Boise2022_6667,WI,66,130,Y,FG
