"plantID","site","year","block","plot","x","y","genotype","growout","density","gravel"
"CH_2023_1831","CH",2023,6,3,7,9,1,2020,"high","white"
"CH_2023_1768","CH",2023,6,3,8,1,97,2020,"high","white"
"CH_2023_1840","CH",2023,6,3,8,10,71,2020,"high","white"
"CH_2023_1776","CH",2023,6,3,8,2,88,2020,"high","white"
"CH_2023_1784","CH",2023,6,3,8,3,56,2020,"high","white"
"CH_2023_1792","CH",2023,6,3,8,4,51,2020,"high","white"
"CH_2023_1800","CH",2023,6,3,8,5,100,2020,"high","white"
"CH_2023_1808","CH",2023,6,3,8,6,83,2020,"high","white"
"CH_2023_1816","CH",2023,6,3,8,7,63,2020,"high","white"
"CH_2023_1824","CH",2023,6,3,8,8,8,2020,"high","white"
"CH_2023_1832","CH",2023,6,3,8,9,37,2020,"high","white"
"CH_2023_1681","CH",2023,6,2,1,1,57,2020,"low","black"
"CH_2023_1697","CH",2023,6,2,1,2,58,2020,"low","black"
"CH_2023_1713","CH",2023,6,2,1,3,26,2020,"low","black"
"CH_2023_1729","CH",2023,6,2,1,4,18,2022,"low","black"
"CH_2023_1745","CH",2023,6,2,1,5,44,2020,"low","black"
"CH_2023_1690","CH",2023,6,2,10,1,49,2020,"low","black"
"CH_2023_1706","CH",2023,6,2,10,2,95,2021,"low","black"
"CH_2023_1722","CH",2023,6,2,10,3,19,2020,"low","black"
"CH_2023_1738","CH",2023,6,2,10,4,87,2021,"low","black"
"CH_2023_1754","CH",2023,6,2,10,5,61,2020,"low","black"
"CH_2023_1691","CH",2023,6,2,11,1,9,2020,"low","black"
"CH_2023_1707","CH",2023,6,2,11,2,89,2020,"low","black"
"CH_2023_1723","CH",2023,6,2,11,3,71,2020,"low","black"
"CH_2023_1739","CH",2023,6,2,11,4,83,2020,"low","black"
"CH_2023_1755","CH",2023,6,2,11,5,52,2020,"low","black"
"CH_2023_1692","CH",2023,6,2,12,1,14,2020,"low","black"
"CH_2023_1708","CH",2023,6,2,12,2,42,2021,"low","black"
"CH_2023_1724","CH",2023,6,2,12,3,65,2020,"low","black"
"CH_2023_1740","CH",2023,6,2,12,4,32,2020,"low","black"
"CH_2023_1756","CH",2023,6,2,12,5,74,2020,"low","black"
"CH_2023_1693","CH",2023,6,2,13,1,101,2020,"low","black"
"CH_2023_1709","CH",2023,6,2,13,2,43,2020,"low","black"
"CH_2023_1725","CH",2023,6,2,13,3,76,2020,"low","black"
"CH_2023_1741","CH",2023,6,2,13,4,92,2020,"low","black"
"CH_2023_1757","CH",2023,6,2,13,5,52,2020,"low","black"
"CH_2023_1694","CH",2023,6,2,14,1,24,2020,"low","black"
"CH_2023_1710","CH",2023,6,2,14,2,91,2020,"low","black"
"CH_2023_1726","CH",2023,6,2,14,3,6,2020,"low","black"
"CH_2023_1742","CH",2023,6,2,14,4,47,2020,"low","black"
"CH_2023_1758","CH",2023,6,2,14,5,7,2020,"low","black"
"CH_2023_1695","CH",2023,6,2,15,1,81,2020,"low","black"
"CH_2023_1711","CH",2023,6,2,15,2,72,2020,"low","black"
"CH_2023_1727","CH",2023,6,2,15,3,38,2021,"low","black"
"CH_2023_1743","CH",2023,6,2,15,4,34,2020,"low","black"
"CH_2023_1759","CH",2023,6,2,15,5,56,2020,"low","black"
"CH_2023_1696","CH",2023,6,2,16,1,93,2020,"low","black"
"CH_2023_1712","CH",2023,6,2,16,2,28,2020,"low","black"
"CH_2023_1728","CH",2023,6,2,16,3,102,2020,"low","black"
"CH_2023_1744","CH",2023,6,2,16,4,37,2020,"low","black"
"CH_2023_1760","CH",2023,6,2,16,5,29,2020,"low","black"
"CH_2023_1682","CH",2023,6,2,2,1,98,2020,"low","black"
"CH_2023_1698","CH",2023,6,2,2,2,90,2020,"low","black"
"CH_2023_1714","CH",2023,6,2,2,3,73,2020,"low","black"
"CH_2023_1730","CH",2023,6,2,2,4,68,2020,"low","black"
"CH_2023_1746","CH",2023,6,2,2,5,75,2020,"low","black"
"CH_2023_1683","CH",2023,6,2,3,1,79,2020,"low","black"
"CH_2023_1699","CH",2023,6,2,3,2,55,2020,"low","black"
"CH_2023_1715","CH",2023,6,2,3,3,54,2020,"low","black"
"CH_2023_1731","CH",2023,6,2,3,4,45,2020,"low","black"
"CH_2023_1747","CH",2023,6,2,3,5,33,2020,"low","black"
"CH_2023_1684","CH",2023,6,2,4,1,12,2020,"low","black"
"CH_2023_1700","CH",2023,6,2,4,2,72,2020,"low","black"
"CH_2023_1716","CH",2023,6,2,4,3,59,2020,"low","black"
"CH_2023_1732","CH",2023,6,2,4,4,1,2020,"low","black"
"CH_2023_1748","CH",2023,6,2,4,5,46,2020,"low","black"
"CH_2023_1685","CH",2023,6,2,5,1,2,2020,"low","black"
"CH_2023_1701","CH",2023,6,2,5,2,62,2020,"low","black"
"CH_2023_1717","CH",2023,6,2,5,3,88,2021,"low","black"
"CH_2023_1733","CH",2023,6,2,5,4,66,2020,"low","black"
"CH_2023_1749","CH",2023,6,2,5,5,5,2020,"low","black"
"CH_2023_1686","CH",2023,6,2,6,1,97,2020,"low","black"
"CH_2023_1702","CH",2023,6,2,6,2,82,2020,"low","black"
"CH_2023_1718","CH",2023,6,2,6,3,74,2020,"low","black"
"CH_2023_1734","CH",2023,6,2,6,4,39,2020,"low","black"
"CH_2023_1750","CH",2023,6,2,6,5,30,2020,"low","black"
"CH_2023_1687","CH",2023,6,2,7,1,63,2020,"low","black"
"CH_2023_1703","CH",2023,6,2,7,2,8,2020,"low","black"
"CH_2023_1719","CH",2023,6,2,7,3,11,2020,"low","black"
"CH_2023_1735","CH",2023,6,2,7,4,25,2020,"low","black"
"CH_2023_1751","CH",2023,6,2,7,5,104,2020,"low","black"
"CH_2023_1688","CH",2023,6,2,8,1,69,2020,"low","black"
"CH_2023_1704","CH",2023,6,2,8,2,100,2020,"low","black"
"CH_2023_1720","CH",2023,6,2,8,3,151,2022,"low","black"
"CH_2023_1736","CH",2023,6,2,8,4,31,2020,"low","black"
"CH_2023_1752","CH",2023,6,2,8,5,51,2020,"low","black"
"CH_2023_1689","CH",2023,6,2,9,1,64,2020,"low","black"
"CH_2023_1705","CH",2023,6,2,9,2,77,2020,"low","black"
"CH_2023_1721","CH",2023,6,2,9,3,35,2020,"low","black"
"CH_2023_1737","CH",2023,6,2,9,4,84,2020,"low","black"
"CH_2023_1753","CH",2023,6,2,9,5,96,2020,"low","black"
"CH_2023_1841","CH",2023,6,4,1,1,46,2020,"low","white"
"CH_2023_1857","CH",2023,6,4,1,2,68,2020,"low","white"
"CH_2023_1873","CH",2023,6,4,1,3,26,2020,"low","white"
"CH_2023_1889","CH",2023,6,4,1,4,97,2021,"low","white"
"CH_2023_1905","CH",2023,6,4,1,5,39,2020,"low","white"
"CH_2023_1850","CH",2023,6,4,10,1,51,2020,"low","white"
"CH_2023_1866","CH",2023,6,4,10,2,83,2020,"low","white"
"CH_2023_1882","CH",2023,6,4,10,3,102,2020,"low","white"
"CH_2023_1898","CH",2023,6,4,10,4,65,2020,"low","white"
"CH_2023_1914","CH",2023,6,4,10,5,6,2020,"low","white"
"CH_2023_1851","CH",2023,6,4,11,1,63,2020,"low","white"
"CH_2023_1867","CH",2023,6,4,11,2,66,2020,"low","white"
"CH_2023_1883","CH",2023,6,4,11,3,75,2020,"low","white"
"CH_2023_1899","CH",2023,6,4,11,4,72,2020,"low","white"
"CH_2023_1915","CH",2023,6,4,11,5,96,2020,"low","white"
"CH_2023_1852","CH",2023,6,4,12,1,24,2020,"low","white"
