PopNum,NewSiteCode,AdultHeight_cm,SpringGrowth_cm,tillersN,leavesN,DaysToFlower,InflorescenceHeight_cm,InflorescenceN,DryBiomass_mg,seedM_mg,seedN,seed1M_mg,,
152,Davies03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
153,Downs1,16.41744717,7.302788413,4.388028598,17.32202112,128.672683,44.57172679,1.836681826,757.4263839,555.1520214,259.6924467,2.100000063,,
154,Downs2,14.97917144,6.085667023,3.875693051,19.22367747,134.3495811,57.61761668,1.795116522,586.6497391,416.0438336,119.7153762,3.400000007,,
155,Downs3,16.9065071,8.288094643,7.641231023,48.7982395,167.6008578,23.52926905,2.704460135,651.8665018,164.2639947,61.33622124,2.635,,
158,Fleishman1,18.30759141,11.9735063,6.476819422,41.20874767,226.9097619,15.25717445,3.809743782,518.9571042,99.8170927,55.03989155,2.234999952,,
160,Fleishman5,14.80206525,8.566356322,8.001744033,46.60457084,210.7264364,29.86366969,1.380536807,453.4006107,192.0904453,57.98584239,3.205000033,,
161,Fleishman7,16.0586022,7.647002255,6.100733571,36.66094619,169.2345654,39.15852971,2.878239969,701.8603852,211.7533138,103.4303739,2.075000007,,
162,Getts1,19.06337356,11.63358801,8.029375532,72.4520418,208.4713211,35.99927742,4.194503905,1320.723518,647.5376947,248.78231,2.504999997,,
163,Getts3,13.61912254,5.086436418,8.100371355,43.60702594,167.100806,38.35277053,2.260106742,644.5344893,405.4248376,127.1879352,3.210000033,,
165,Holdrege1,14.43025685,6.538211423,7.933336008,54.40919683,171.6397161,33.64695994,2.344975559,700.9916764,384.9364293,96.3315176,3.924999997,,
166,Hufft1,12.97605489,5.544871914,6.99104553,52.51142917,199.2418023,31.34088166,3.390833228,708.6640669,272.7948429,117.6910624,2.355000001,,
167,Hufft2,18.53984043,10.82142798,7.641231023,35.13157283,168.5693874,34.36187376,2.928033023,859.9998351,164.1685807,59.34179438,2.660000001,,
168,JackieOtt1,17.57280419,11.44382112,7.816605716,50.99258046,193.0598454,30.71978589,4.22309216,973.8775877,275.8689426,134.8619368,2.174999952,,
169,JackieOtt2,16.33455005,8.896956287,6.140256143,31.30771655,181.1291015,34.92848109,2.47475538,580.0149088,261.6682271,119.7206822,2.224999972,,
170,JackieOtt5,14.40833547,7.020773183,8.303003221,64.94736496,215.6938481,28.92809067,3.737160916,786.6661089,251.2798168,79.92566053,3.000000023,,
171,JackieOtt6,15.93984043,10.38809464,7.974564356,57.7982395,200.9027207,38.69520709,3.261366356,976.7331684,261.895284,84.86634429,3.060000001,,
172,JackieOtt7,14.29025425,8.38539656,7.510245229,50.82246516,214.4547341,36.59950211,4.040080233,1084.81783,320.565118,100.622104,3.105000023,,
173,Lavin1,15.94092474,8.973506297,7.143486088,46.87541434,199.4097619,23.75717445,2.809743782,622.8571042,251.9696822,117.0912418,2.335000007,,
174,Lavin2,15.18849443,7.396671973,6.7183237,41.56795166,NA,NA,NA,538.458112,NA,NA,NA,,
175,Lee1,20.81583009,13.29909959,2.817195006,3.142513689,122.4580913,60.21486335,3.137234212,622.0415414,573.69347,297.064612,1.880000001,,
176,Lee2,15.63339857,8.733866964,6.14841488,18.16715498,126.330017,46.00294883,2.718948419,485.2890273,353.7651911,132.6406324,2.660000001,,
177,Lee3,16.33402711,8.438040594,4.050860913,18.77490513,119.7445455,55.8534491,2.454659947,355.5002914,441.3695543,239.0024482,1.830000063,,
178,Lee4,15.66788338,5.73028962,4.140256143,12.97438321,109.4624348,48.09514776,2.808088713,218.0149088,433.2585497,139.1839378,3.125000063,,
180,Leger1,20.46873191,12.83302299,5.6684107,18.93790417,134.3931031,58.19700302,2.380536807,622.1339441,459.6301413,144.1410426,3.145000023,,
181,Maron1,20.15912515,15.87258461,5.523462134,33.52709094,231.285788,24.7335617,1.898335402,1306.432123,6.019900717,11.03241084,1.805000033,,
182,Maron2,11.67053711,4.455146374,7.893129347,76.06525907,216.1661567,17.73401285,2.045727909,482.3937717,180.626438,41.15454108,3.880000023,,
