SiteCode,"Transect (N, E, S, or W)",Treatment (control OR removal),Distance from center (m),Planting date,Emergence census date,Emerged (Yes or No),BRTE neighbors ,Final census date,Seeds (Yes or No),Seeds produced,Total plant dry mass (g),Seed mass (g),Seed drop (Y or N),Unfilled seeds,Smut seeds,Notes (Herbivore damage? Disease?)
GreenCanyon,N,removal,6.8,9/14/2021,10/29/2021,Y,1,6/22/2022,Y,30,0.803,0.082,Y,0,0,
GreenCanyon,N,removal,7,9/14/2021,10/29/2021,Y,1,6/22/2022,N,0,,,,,,
GreenCanyon,E,removal,2.2,9/14/2021,10/29/2021,Y,0,6/22/2022,Y,19,0.031,0.042,Y,1,0,
GreenCanyon,E,removal,2.4,9/14/2021,10/29/2021,Y,1,6/22/2022,Y,55,0.068,0.082,N,0,55,
GreenCanyon,E,removal,2.6,9/14/2021,10/29/2021,Y,0,6/22/2022,Y,21,0.044,0.052,N,0,0,
GreenCanyon,E,removal,2.8,9/14/2021,10/29/2021,Y,0,6/22/2022,Y,34,0.065,0.104,N,0,0,
GreenCanyon,E,removal,3,9/14/2021,10/29/2021,N,0,6/22/2022,N,0,,,,,,
GreenCanyon,E,removal,3.2,9/14/2021,10/29/2021,Y,NA,6/22/2022,missing,NA,,,,,,
GreenCanyon,E,removal,3.4,9/14/2021,10/29/2021,Y,3,6/22/2022,Y,66,0.136,0.192,N,4,0,
GreenCanyon,E,removal,3.6,9/14/2021,10/29/2021,Y,0,6/22/2022,N,0,,,,,,
GreenCanyon,E,removal,3.8,9/14/2021,10/29/2021,Y,2,6/22/2022,Y,38,0.099,0.119,N,2,0,
GreenCanyon,E,removal,4,9/14/2021,10/29/2021,Y,0,6/22/2022,Y,15,0.023,0.042,N,0,0,
GreenCanyon,E,removal,4.2,9/14/2021,10/29/2021,Y,0,6/22/2022,N,0,,,,,,
GreenCanyon,E,removal,4.4,9/14/2021,10/29/2021,N,1,6/22/2022,N,0,,,,,,
GreenCanyon,E,removal,4.6,9/14/2021,10/29/2021,N,0,6/22/2022,N,0,,,,,,
GreenCanyon,E,removal,4.8,9/14/2021,10/29/2021,Y,1,6/22/2022,Y,124,0.253,0.381,N,12,0,
GreenCanyon,E,removal,5,9/14/2021,10/29/2021,N,1,6/22/2022,Y,6,0.024,0.012,Y,0,0,
GreenCanyon,E,removal,5.2,9/14/2021,10/29/2021,Y,0,6/22/2022,Y,111,0.299,0.327,N,5,0,
GreenCanyon,E,removal,5.4,9/14/2021,10/29/2021,N,0,6/22/2022,N,0,,,,,,pick broken
GreenCanyon,E,removal,5.6,9/14/2021,10/29/2021,Y,0,6/22/2022,Y,13,0.024,0.038,Y,0,0,
GreenCanyon,E,removal,5.8,9/14/2021,10/29/2021,N,0,6/22/2022,N,0,,,,,,
GreenCanyon,E,removal,6,9/14/2021,10/29/2021,Y,1,6/22/2022,Y,14,0.041,0.024,N,0,0,
