SiteCode,"Transect (N, E, S, or W)",Treatment (control OR removal),Distance from center (m),Planting date,Emergence census date,Emerged (Y/N),BRTE neighbors ,Final census date,Seeds (Y/N),Seeds produced,Total plant dry mass (g),Seed mass (g),Seed drop (Y/N),Unfilled seeds,Smut seeds,Notes (Herbivore damage? Disease?),,,,,,,,,
GreenCanyon,W,control,9.6,9/15/2022,10/31/2022,Y,1,6/9/2023,N,,,,,,,no plant,,,,,,,,,
GreenCanyon,W,control,9.8,9/15/2022,10/31/2022,N,0,6/9/2023,N,,,,,,,,,,,,,,,,
GreenCanyon,W,control,10,9/15/2022,10/31/2022,N,0,6/9/2023,N,,,,,,,,,,,,,,,,
GreenCanyon,N,removal,2.2,9/15/2022,10/31/2022,Y,0,6/12/2023,N,,,,,,,NP (no plant),,,,,,,,,
GreenCanyon,N,removal,2.4,9/15/2022,10/31/2022,Y,0,6/12/2023,N,,,,,,,NP,,,,,,,,,
GreenCanyon,N,removal,2.6,9/15/2022,10/31/2022,Y,0,6/12/2023,N,,,,,,,NP,,,,,,,,,
GreenCanyon,N,removal,2.8,9/15/2022,10/31/2022,Y,0,6/12/2023,N,,,,,,,NP,,,,,,,,,
GreenCanyon,N,removal,3,9/15/2022,10/31/2022,Y,0,6/12/2023,N,,,,,,,NP,,,,,,,,,
GreenCanyon,N,removal,3.2,9/15/2022,10/31/2022,N,0,6/12/2023,N,,,,,,,,,,,,,,,,
GreenCanyon,N,removal,3.4,9/15/2022,10/31/2022,Y,0,6/12/2023,N,,,,,,,NP,,,,,,,,,
GreenCanyon,N,removal,3.6,9/15/2022,10/31/2022,N,0,6/12/2023,N,,,,,,,,,,,,,,,,
GreenCanyon,N,removal,3.8,9/15/2022,10/31/2022,N,0,6/12/2023,N,,,,,,,,,,,,,,,,
GreenCanyon,N,removal,4,9/15/2022,10/31/2022,Y,0,6/12/2023,N,,,,,,,NP,,,,,,,,,
GreenCanyon,N,removal,4.2,9/15/2022,10/31/2022,Y,0,6/12/2023,Y,16,0.027,0.03,N,1,,,,,,,,,,,
GreenCanyon,N,removal,4.4,9/15/2022,10/31/2022,Y,1,6/12/2023,N,,,,,,,NP,,,,,,,,,
GreenCanyon,N,removal,4.6,9/15/2022,10/31/2022,N,0,6/12/2023,N,,,,,,,,,,,,,,,,
GreenCanyon,N,removal,4.8,9/15/2022,10/31/2022,Y,0,6/12/2023,Y,70,0.158,0.104,N,3,,,,,,,,,,,
GreenCanyon,N,removal,5,9/15/2022,10/31/2022,Y,0,6/12/2023,N,,,,,,,NP,,,,,,,,,
GreenCanyon,N,removal,5.2,9/15/2022,10/31/2022,Y,1,6/12/2023,Y,4,0.009,0.002,N,,4,,,,,,,,,,
GreenCanyon,N,removal,5.4,9/15/2022,10/31/2022,Y,1,6/12/2023,Y,14,0.023,0.027,N,1,,,,,,,,,,,
GreenCanyon,N,removal,5.6,9/15/2022,10/31/2022,Y,0,6/12/2023,N,,,,,,,NP,,,,,,,,,
GreenCanyon,N,removal,5.8,9/15/2022,10/31/2022,N,NA,6/12/2023,not found,,,,not found,,,,,,,,,,,,
GreenCanyon,N,removal,6,9/15/2022,10/31/2022,Y,0,6/12/2023,N,,,,,,,Bromus japonicus next to pick,,,,,,,,,
GreenCanyon,N,removal,6.2,9/15/2022,10/31/2022,Y,0,6/12/2023,N,,,,,,,NP,,,,,,,,,
GreenCanyon,N,removal,6.4,9/15/2022,10/31/2022,Y,2,6/12/2023,Y,23,0.03,0.017,N,,23,,,,,,,,,,
GreenCanyon,N,removal,6.6,9/15/2022,10/31/2022,N,0,6/12/2023,N,,,,,,,,,,,,,,,,
GreenCanyon,N,removal,6.8,9/15/2022,10/31/2022,Y,0,6/12/2023,N,,,,,,,NP,,,,,,,,,
GreenCanyon,N,removal,7,9/15/2022,10/31/2022,Y,1,6/12/2023,N,,,,,,,NP,,,,,,,,,
GreenCanyon,E,removal,2.2,9/15/2022,10/31/2022,N,0,6/12/2023,N,,,,,,,,,,,,,,,,
GreenCanyon,E,removal,2.4,9/15/2022,10/31/2022,N,0,6/12/2023,N,,,,,,,,,,,,,,,,
GreenCanyon,E,removal,2.6,9/15/2022,10/31/2022,Y,0,6/12/2023,N,,,,,,,NP,,,,,,,,,
GreenCanyon,E,removal,2.8,9/15/2022,10/31/2022,Y,0,6/12/2023,N,,,,,,,NP,,,,,,,,,
GreenCanyon,E,removal,3,9/15/2022,10/31/2022,Y,0,6/12/2023,N,,,,,,,NP,,,,,,,,,
GreenCanyon,E,removal,3.2,9/15/2022,10/31/2022,Y,0,6/12/2023,N,,,,,,,NP,,,,,,,,,
GreenCanyon,E,removal,3.4,9/15/2022,10/31/2022,Y,0,6/12/2023,N,,,,,,,NP,,,,,,,,,
GreenCanyon,E,removal,3.6,9/15/2022,10/31/2022,Y,0,6/12/2023,N,,,,,,,NP,,,,,,,,,
GreenCanyon,E,removal,3.8,9/15/2022,10/31/2022,N,1,6/12/2023,N,,,,,,,NP,,,,,,,,,
GreenCanyon,E,removal,4,9/15/2022,10/31/2022,Y,0,6/12/2023,N,,,,,,,"dead- tiny plant present, not harvested",,,,,,,,,
GreenCanyon,E,removal,4.2,9/15/2022,10/31/2022,N,0,6/12/2023,N,,,,,,,,,,,,,,,,
GreenCanyon,E,removal,4.4,9/15/2022,10/31/2022,N,1,6/12/2023,N,,,,,,,NP,,,,,,,,,
GreenCanyon,E,removal,4.6,9/15/2022,10/31/2022,Y,0,6/12/2023,N,,,,,,,NP,,,,,,,,,
GreenCanyon,E,removal,4.8,9/15/2022,10/31/2022,Y,1,6/12/2023,N,,,,,,,BRJA in twist tie,,,,,,,,,
GreenCanyon,E,removal,5,9/15/2022,10/31/2022,Y,0,6/12/2023,N,,,,,,,NP,,,,,,,,,
GreenCanyon,E,removal,5.2,9/15/2022,10/31/2022,Y,0,6/12/2023,N,,,,,,,NP,,,,,,,,,
GreenCanyon,E,removal,5.4,9/15/2022,10/31/2022,N,0,6/12/2023,N,,,,,,,,,,,,,,,,
GreenCanyon,E,removal,5.6,9/15/2022,10/31/2022,N,0,6/12/2023,N,,,,,,,,,,,,,,,,
GreenCanyon,E,removal,5.8,9/15/2022,10/31/2022,N,0,6/12/2023,N,,,,,,,,,,,,,,,,
GreenCanyon,E,removal,6,9/15/2022,10/31/2022,N,0,6/12/2023,N,,,,,,,,,,,,,,,,
GreenCanyon,E,removal,6.2,9/15/2022,10/31/2022,N,0,6/12/2023,N,,,,,,,,,,,,,,,,
GreenCanyon,E,removal,6.4,9/15/2022,10/31/2022,Y,0,6/12/2023,N,,,,,,,NP,,,,,,,,,
GreenCanyon,E,removal,6.6,9/15/2022,10/31/2022,Y,0,6/12/2023,N,,,,,,,NP,,,,,,,,,
GreenCanyon,E,removal,6.8,9/15/2022,10/31/2022,N,0,6/12/2023,N,,,,,,,,,,,,,,,,
GreenCanyon,E,removal,7,9/15/2022,10/31/2022,N,0,6/12/2023,N,,,,,,,,,,,,,,,,
Woodruff,W,control,0.2,9/15/2022,10/31/2022,N,0,6/23/2023,N,,,,,,,,,,,,,,,,
Woodruff,W,control,0.4,9/15/2022,10/31/2022,Y,0,6/23/2023,N,,,,,,,NP,,,,,,,,,
Woodruff,W,control,0.6,9/15/2022,10/31/2022,N,0,6/23/2023,N,,,,,,,,,,,,,,,,
Woodruff,W,control,0.8,9/15/2022,10/31/2022,N,0,6/23/2023,Y,2,0.008,0.001,N,,,,,,,,,,,,
Woodruff,W,control,1,9/15/2022,10/31/2022,N,0,6/23/2023,N,,,,,,,,,,,,,,,,
Woodruff,W,control,1.2,9/15/2022,10/31/2022,Y,0,6/23/2023,N,,,,,,,NP,,,,,,,,,
Woodruff,W,control,1.4,9/15/2022,10/31/2022,Y,0,6/23/2023,N,,,,,,,NP,,,,,,,,,
Woodruff,W,control,1.6,9/15/2022,10/31/2022,N,0,6/23/2023,Y,2,0.007,0.001,N,,,,,,,,,,,,
Woodruff,W,control,1.8,9/15/2022,10/31/2022,Y,0,6/23/2023,N,,,,,,,NP,,,,,,,,,
Woodruff,W,control,2,9/15/2022,10/31/2022,Y,0,6/23/2023,N,,,,,,,NP,,,,,,,,,
Woodruff,W,control,2.2,9/15/2022,10/31/2022,N,0,6/23/2023,N,,,,,,,,,,,,,,,,
Woodruff,W,control,2.4,9/15/2022,10/31/2022,N,0,6/23/2023,N,,,,,,,,,,,,,,,,
Woodruff,W,control,2.6,9/15/2022,10/31/2022,N,0,6/23/2023,N,,,,,,,,,,,,,,,,
Woodruff,W,control,2.8,9/15/2022,10/31/2022,N,0,6/23/2023,N,,,,,,,,,,,,,,,,
Woodruff,W,control,3,9/15/2022,10/31/2022,N,0,6/23/2023,Y,1,0.003,0.0004,N,,,,,,,,,,,,
Woodruff,W,control,3.2,9/15/2022,10/31/2022,N,0,6/23/2023,N,,,,,,,,,,,,,,,,
Woodruff,W,control,3.4,9/15/2022,10/31/2022,Y,0,6/23/2023,N,,,,,,,NP,,,,,,,,,
Woodruff,W,control,3.6,9/15/2022,10/31/2022,N,0,6/23/2023,N,,,,,,,,,,,,,,,,
Woodruff,W,control,3.8,9/15/2022,10/31/2022,Y,0,6/23/2023,N,,,,,,,NP,,,,,,,,,
Woodruff,W,control,4,9/15/2022,10/31/2022,Y,0,6/23/2023,N,,,,,,,NP,,,,,,,,,
Woodruff,W,control,4.2,9/15/2022,10/31/2022,Y,0,6/23/2023,N,,,,,,,NP,,,,,,,,,
Woodruff,W,control,4.4,9/15/2022,10/31/2022,N,0,6/23/2023,N,,,,,,,,,,,,,,,,
Woodruff,W,control,4.6,9/15/2022,10/31/2022,Y,0,6/23/2023,N,,,,,,,NP,,,,,,,,,
Woodruff,W,control,4.8,9/15/2022,10/31/2022,N,0,6/23/2023,N,,,,,,,,,,,,,,,,
Woodruff,W,control,5,9/15/2022,10/31/2022,Y,0,6/23/2023,N,,,,,,,NP,,,,,,,,,
Woodruff,W,control,5.2,9/15/2022,10/31/2022,N,0,6/23/2023,N,,,,,,,,,,,,,,,,
Woodruff,W,control,5.4,9/15/2022,10/31/2022,N,0,6/23/2023,N,,,,,,,,,,,,,,,,
Woodruff,W,control,5.6,9/15/2022,10/31/2022,N,0,6/23/2023,N,,,,,,,,,,,,,,,,
Woodruff,W,control,5.8,9/15/2022,10/31/2022,Y,0,6/23/2023,N,,,,,,,NP,,,,,,,,,
Woodruff,W,control,6,9/15/2022,10/31/2022,Y,0,6/23/2023,N,,,,,,,NP,,,,,,,,,
Woodruff,W,control,6.2,9/15/2022,10/31/2022,Y,0,6/23/2023,N,,,,,,,NP,,,,,,,,,
Woodruff,W,control,6.4,9/15/2022,10/31/2022,N,0,6/23/2023,N,,,,,,,,,,,,,,,,
Woodruff,W,control,6.6,9/15/2022,10/31/2022,N,0,6/23/2023,N,,,,,,,,,,,,,,,,
Woodruff,W,control,6.8,9/15/2022,10/31/2022,N,0,6/23/2023,Y,2,0.005,0.002,N,,,,,,,,,,,,
Woodruff,W,control,7,9/15/2022,10/31/2022,N,0,6/23/2023,N,,,,,,,,,,,,,,,,
Woodruff,W,control,7.2,9/15/2022,10/31/2022,Y,0,6/23/2023,N,,,,,,,NP,,,,,,,,,
Woodruff,W,control,7.4,9/15/2022,10/31/2022,Y,0,6/23/2023,N,,,,,,,NP,,,,,,,,,
Woodruff,W,control,7.6,9/15/2022,10/31/2022,N,0,6/23/2023,N,,,,,,,,,,,,,,,,
Woodruff,W,control,7.8,9/15/2022,10/31/2022,N,0,6/23/2023,N,,,,,,,,,,,,,,,,
Woodruff,W,control,8,9/15/2022,10/31/2022,N,0,6/23/2023,N,,,,,,,,,,,,,,,,
Woodruff,W,control,8.2,9/15/2022,10/31/2022,Y,0,6/23/2023,Y,2,0.004,0.001,N,,,,,,,,,,,,
Woodruff,W,control,8.4,9/15/2022,10/31/2022,N,0,6/23/2023,N,,,,,,,,,,,,,,,,
Woodruff,W,control,8.6,9/15/2022,10/31/2022,N,0,6/23/2023,N,,,,,,,,,,,,,,,,
Woodruff,W,control,8.8,9/15/2022,10/31/2022,N,0,6/23/2023,N,,,,,,,,,,,,,,,,
Woodruff,W,control,9,9/15/2022,10/31/2022,N,0,6/23/2023,N,,,,,,,,,,,,,,,,
Woodruff,W,control,9.2,9/15/2022,10/31/2022,N,0,6/23/2023,N,,,,,,,,,,,,,,,,
Woodruff,W,control,9.4,9/15/2022,10/31/2022,N,0,6/23/2023,N,,,,,,,,,,,,,,,,
Woodruff,W,control,9.6,9/15/2022,10/31/2022,Y,0,6/23/2023,N,,,,,,,NP,,,,,,,,,
Woodruff,W,control,9.8,9/15/2022,10/31/2022,N,0,6/23/2023,N,,,,,,,,,,,,,,,,
Woodruff,W,control,10,9/15/2022,10/31/2022,N,0,6/23/2023,N,,,,,,,,,,,,,,,,
Woodruff,S,control,0.2,9/15/2022,10/31/2022,N,0,6/23/2023,N,,,,,,,,,,,,,,,,
Woodruff,S,control,0.4,9/15/2022,10/31/2022,Y,0,6/23/2023,Y,3,0.009,0.002,N,,,,,,,,,,,,
Woodruff,S,control,0.6,9/15/2022,10/31/2022,N,0,6/23/2023,N,,,,,,,,,,,,,,,,
Woodruff,S,control,0.8,9/15/2022,10/31/2022,Y,0,6/23/2023,N,,,,,,,NP,,,,,,,,,
Woodruff,S,control,1,9/15/2022,10/31/2022,Y,0,6/23/2023,N,,,,,,,NP,,,,,,,,,
Woodruff,S,control,1.2,9/15/2022,10/31/2022,N,0,6/23/2023,N,,,,,,,,,,,,,,,,
Woodruff,S,control,1.4,9/15/2022,10/31/2022,N,0,6/23/2023,N,,,,,,,,,,,,,,,,
Woodruff,S,control,1.6,9/15/2022,10/31/2022,Y,0,6/23/2023,N,,,,,,,NP,,,,,,,,,
Woodruff,S,control,1.8,9/15/2022,10/31/2022,Y,0,6/23/2023,Y,5,0.03,0.003,N,,,,,,,,,,,,
Woodruff,S,control,2,9/15/2022,10/31/2022,N,0,6/23/2023,N,,,,,,,,,,,,,,,,
Woodruff,S,control,2.2,9/15/2022,10/31/2022,N,0,6/23/2023,N,,,,,,,,,,,,,,,,
Woodruff,S,control,2.4,9/15/2022,10/31/2022,Y,0,6/23/2023,N,,,,,,,NP,,,,,,,,,
Woodruff,S,control,2.6,9/15/2022,10/31/2022,N,0,6/23/2023,N,,,,,,,,,,,,,,,,
Woodruff,S,control,2.8,9/15/2022,10/31/2022,N,0,6/23/2023,N,,,,,,,,,,,,,,,,
Woodruff,S,control,3,9/15/2022,10/31/2022,Y,0,6/23/2023,N,,,,,,,NP,,,,,,,,,
Woodruff,S,control,3.2,9/15/2022,10/31/2022,N,0,6/23/2023,N,,,,,,,,,,,,,,,,
Woodruff,S,control,3.4,9/15/2022,10/31/2022,Y,0,6/23/2023,N,,,,,,,NP,,,,,,,,,
Woodruff,S,control,3.6,9/15/2022,10/31/2022,N,0,6/23/2023,N,,,,,,,,,,,,,,,,
Woodruff,S,control,3.8,9/15/2022,10/31/2022,Y,0,6/23/2023,N,,,,,,,NP,,,,,,,,,
