PopNum,tray,SeedlingHeight_cm,AdultHeight_cm,SpringGrowth_cm,tillersN,leavesN
143,11,8,19,11,3,18
144,4,6.9,19,12.1,7,32
144,6,6.7,13.5,6.8,1,13
144,13,10.5,12.8,2.3,4,15
145,3,6.4,19.4,13,11,80
145,7,4,16.4,12.4,7,55
145,14,5.3,15,9.7,5,37
146,3,6.9,18.6,11.7,9,40
146,9,7.5,25.6,18.1,7,50
146,13,9.5,12.2,2.7,9,50
147,1,9.1,14.8,5.7,7,26
147,7,6.7,25.2,18.5,6,30
147,14,6.3,19,12.7,5,29
148,1,7.5,18.7,11.2,5,28
148,13,9,10.8,1.8,5,25
148,15,7.7,20,12.3,7,30
149,4,7,14.5,7.5,7,45
149,7,5.6,12.6,7,11,60
149,14,6.2,17,10.8,5,45
150,1,5,13.8,8.8,15,112
150,9,7.5,20.4,12.9,6,40
150,14,5.8,13.5,7.7,8,70
153,1,10,13.8,3.8,5,19
153,13,7,13,6,5,25
153,14,9,17,8,5,25
154,4,9.8,16,6.2,2,14
154,9,9.5,17.2,7.7,4,15
154,14,7,17,10,4,20
155,1,9.4,16.5,7.1,9,63
155,7,9.4,17.7,8.3,8,50
155,14,5,14.5,9.5,7,40
158,4,7,19.5,12.5,6,35
158,7,6,21.5,15.5,8,45
158,11,7.1,19,11.9,5,35
160,2,6.4,10.1,3.7,13,82
160,9,7.1,23.6,16.5,6,43
160,12,6,11.5,5.5,6,28
161,4,10.1,17.5,7.4,6,40
161,6,7,13.5,6.5,3,20
161,12,8,19,11,6,35
162,3,8.8,21.8,13,8,75
162,6,6.5,18,11.5,7,60
163,2,9.4,9.5,0.1,13,85
163,8,8.5,10.5,2,5,23
163,12,7.5,17,9.5,6,30
165,3,6.8,19.3,12.5,12,70
165,6,9.1,11,1.9,3,22
165,12,8.4,15,6.6,7,60
166,1,7.5,9.5,2,7,64
166,8,5.6,12,6.4,4,36
166,13,8.5,11.5,3,11,75
167,1,6.6,13.2,6.6,10,55
167,7,7.5,20.9,13.4,6,40
167,14,7,19.5,12.5,8,17
168,3,6.8,21.5,14.7,7,40
168,8,7.9,17,9.1,9,60
168,11,5.6,17,11.4,6,40
169,3,8.1,21.3,13.2,7,35
169,8,7.2,14,6.8,5,25
169,14,6.4,14.5,8.1,5,23
170,2,7,11.2,4.2,7,64
170,6,7.5,11.5,4,8,55
170,13,7.3,14.8,7.5,12,95
171,1,5.2,12.1,6.9,10,75
171,7,4.5,19.2,14.7,11,70
171,14,4.9,14.5,9.6,4,35
172,2,6.2,11.9,5.7,9,48
172,6,6,13,7,7,60
172,12,5.2,14.5,9.3,6,48
173,4,7.2,21.5,14.3,6,45
173,7,6.1,18.4,12.3,8,45
173,11,8.7,13,4.3,7,42
174,4,7.2,20.5,13.3,5,35
174,9,8.5,17.6,9.1,8,50
174,13,8.6,11.3,2.7,8,50
175,1,7.2,19.6,12.4,4,10
175,7,7,22.2,15.2,3,10
175,13,7.6,17.2,9.6,5,15
176,1,7.5,12.9,5.4,7,22
176,8,2.8,13.5,10.7,5,16
176,14,8.4,16,7.6,5,15
177,4,9.2,16,6.8,3,12
177,6,6.5,19,12.5,2,12
177,14,6.5,15,8.5,4,14
178,3,12.8,12.8,0,3,10
178,8,8,19,11,3,9
178,14,8.4,16,7.6,5,9
180,2,8,15.5,7.5,6,21
180,9,8,22.7,14.7,6,24
