PopNum,tray,DaysToFlower,InflorHeight_cm,InflorNumber
196,4,157,38,6
196,7,155,25.6,2
196,11,157,46.5,7
197,2,120,38.2,2
197,8,119,35.5,3
197,13,127,42.7,2
198,2,161,33,2
198,7,153,37,7
198,14,163,7.5,1
200,4,183,37.5,1
200,8,209,34,2
200,14,216,45.5,1
201,4,195,47.5,3
201,8,209,42.5,5
201,13,189,31,2
202,4,145,32.5,3
202,6,149,38,5
202,11,161,39.5,7
203,4,151,38,3
203,7,218,35,1
203,13,174,34.5,1
204,1,128,45.5,3
204,6,125,45.5,3
204,14,207,27,5
205,1,169,24,2
205,8,181,45,6
205,14,169,26.5,5
206,4,181,38.5,3
206,12,189,42.5,4
207,2,189,45,3
207,9,202,40,2
207,11,195,34.5,5
208,1,230,13.5,1
208,6,250,8.5,1
208,14,244,17,1
209,1,191,26,4
209,6,187,32.5,2
209,13,189,22.5,4
211,1,209,23.5,3
211,7,209,22.5,2
212,2,120,52.9,5
212,9,119,57.5,3
212,12,121,36.5,3
213,3,171,50.5,2
213,6,187,31,3
216,6,207,18,1
216,12,195,34.5,5
218,2,161,39.5,3
218,7,151,35,1
218,11,157,39.5,2
219,4,211,44,4
219,8,207,30,5
219,11,207,43,4
220,1,191,33.5,7
220,8,209,21.5,2
220,12,202,32.5,5
221,2,174,45.5,1
221,9,164,23.5,1
221,14,185,23,1
222,3,163,43,2
222,6,157,25.5,1
222,11,163,36.5,2
223,3,211,34,2
223,9,163,42.2,1
224,1,151,31.2,1
224,9,149,51.7,4
224,13,157,37.4,4
